jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries,dependenceRatio,independenceRatio
Software Developer,Bezla.com,Russia,2021-09-18,< 25 applicants,llc global hotel sales marketing management company operating branded hotels resorts convention centers independently owned hotels companys experienced operators platforms extensive marketing capabilities produce exceptional revenue optimal returns hotel owners investors llc undergoing expansion seeking enthusiastic entrepreneurial capable 100 remote software developer team candidate position must flexible take various projects attitude responsibilities responsible developing maintaining web application ensure performance quality responsiveness application collaborate sales team contribute definition specifications new features development features define implement web services application backend microservices proactively identify solve bottlenecks fix bugs performance issues maintain code quality organization automatization support services build production requirements programming scripting languages python bash javascript additional experience php groovy java ansible go plus git collaboration gitlab issue tracking collaboration jira confluence development oracle linux preferred database mysql experience ms sql nosql plus jenkins gitlab ci containers orchestration docker kubernetes cloud computing platform oracle cloud infrastructure services spa frameworks jet react angular vue rest web services ability work eastern standard time est 8 5 pm headset quiet dedicated workspace fluent english,Associate,Full-time,Engineering and Information Technology,Mechanical or Industrial Engineering,0.08,0.08
Operation Manager-Facility,,Russia,2021-10-06,< 25 applicants,position summary facility manager overall site responsibility safety effective management operational functions meet exceed expectations customer terms best value proposition offering organisation terms safety service quality efficiency profitability operational responsibilities continue improve current focus efficiency improvement increase margins outputs resource effectiveness processes procedures support projected growth champion development measures track organisational benefits process improvements embed culture continuous improvement pride leveraging emea best practices essential functions provide strong leadership day day operation well future improvements walk talk personal role model champion customer satisfaction whilst ensuring site ehs requirements met champion customer satisfaction initiatives aimed improving value proposition within given market place ensure site legal regulatory compliance met along 100 compliance policies procedures take active participation daily management system meetings coaching others sharing experience wider emea communication cascades achieve facility sales operating profit volume standard margin budgets manage operational activities ensure customer site specific targets achieved according agreed emea key performance indicators manage inventory budgeted levels develops maintains stock management system place increase inventory turns manage capital plan facility sources suitable equipment support sales measure report monthly key performance indicators site specific improvement initiatives projects appropriate collaborate leveraging emea best practises across site ensures facility works effectively site safety operational maintenance programs according company rules standards country regulations assist handling customer complaints within emea guidelines leads annual physical inventory ensuring conducted timely accurate manner responsible implementing loss prevention audit action plans ensure safety loss prevention security practices followed according policy correct report ensure policies procedures handling hazardous material outlined work safe manual implemented appropriately reported promptly required work corporate improve health safety environmental initiative activities performed site order provide maintain safe working environment lead continuous improvement health safety environmental results develop organisation ensure values followed employee engagement high hr processes properly implemented executed special emphasis annual performance talent management position challenges support business units way must work effectively across matrix environment managing multiple priorities influence collaborate across organization direct control r quality gsc sourcing solves issues related urgent important issues safety quality environment sense urgency must protect customer service levels must able effectively communicate mobilize site teams across levels escalate accordingly supports efforts optimize total costs serve single point contact responsible site performance decision making authority decisions relating allocation labor resources production maintenance schedules site safety assist developing implementing facility market plan based market conditions facility mission objectives evaluate introduce new technology equipment work practices improve production efficiency reduce costs formal education position requirements bachelors degree equivalent relevant subject knowledge experience strong background giving customer best service possible management experience operation customer service logistics experience working matrix environment exposure environmental health safety rules compliance lean six sigma requirements strong computer skills general environmental health safety management training shw systems specifics mira discovery ecomet welcome largest paints coatings company world 18 billion sales stores 140 manufacturing distribution centers worldwide employees across globe diverse innovative passionate variety rewarding challenging opportunities great place launch grow career find join us today proud company keep family loyal employees learn company culture go please note sherwin williams unable respond enquiries accept cvs applications recruitment agencies basic qualification please note need existing right work country apply unable sponsor work permits visas equal opportunity equal opportunity employer qualified applicants receive consideration employment discriminated based race colour religion belief gender sexual orientation gender identity ethnic national origin disability age pregnancy maternity marital civil partner status consideration prohibited law submitting interest job agree receive text notifications additional steps complete job application receive 6 messages number 63879 message data rates may apply please refer privacy policy information,Associate,Full-time,Management and Manufacturing,"Construction, Consumer Goods, and Retail",0.44,0.31
Principal Support Engineer,Thycotic,Russia,2021-09-09,< 25 applicants,thycotic centrify leaders privileged access management merging create extensive platform identity security market bringing together complementary product capabilities technology unmatched expertise better enable protect modern hybrid enterprise thycoticcentrify benefit shared commitment innovation strengthening clients cyber defense assemble leading cybersecurity talent privileged access management one areas cybersecurity today expected double 2025 according kuppingercole organizations struggle keep complexity protecting number privileged accounts created business requirements move infrastructure services cloud business transformation created opportunities driven greater need better control compliance around types accounts backed financial strength tpg capital combined company brings together complementary product capabilities technology unmatched expertise better enable protect modern hybrid enterprise environment defined position summary principal support engineer driven resolve complex issues passion assist senior team members achieve customer success candidate looking requires background development ability dive code work methodically challenging cases complex environments excellent communication skills verbal written required interact effectively worldwide customers internal development support sales team members position reports senior director special teams within support organization remote candidates considered key responsibilities troubleshoot complex issues whether software environmental related remain focused complex issues resolution work closely product management development quality assurance senior support team members resolve customer challenges document troubleshooting techniques train team techniques skills requirements bachelor degree software development similar discipline preferred equivalent work experience years software development c programming experience powershell sql rabbitmq experience plus experience front end javascript libraries angular plus cybersecurity certification like plus experience active directory general networking desire learn grow new areas technology knowledge o365 aws google cloud azure cloud solutions plus excellent interpersonal verbal english communication written presentation skills required ability build various troubleshooting tools improve time solution across worldwide support organization ability work closely team members ability highly escalated severity 1 challenges highly motivated attitude works well pressure work thycoticcentrify passionate part make world safer place invest people smart collaborative offer return meaningful work culture innovation great career progression take care employees offer competitive salaries excellent benefits thycotic software llc thycotic centrify equal opportunity affirmative action employers prohibit discrimination harassment type regard race color religion age sex national origin disability status genetics protected veteran status sexual orientation gender identity expression characteristic protected federal state local laws upon conditional offer employment candidates required complete criminal background check drug screen per employment policy addition publicly posted social media sites may reviewed,Associate,Full-time,Information Technology,"Information Technology and Services, Computer Software, and Computer & Network Security",0.28,0.2
Physician Consultant - Domestic - Part time,Joint Commission,Russia,2021-09-25,< 25 applicants,overview provides consultation education technical assistance hospitals health care systems assist improving patient care quality safety collaborates joint commission resources central office staff based oak brook il colleagues generate leads develop proposals pursue close sale consultations joint commission resources joint commission international services maintains knowledge joint commission commission international standards survey process well health trends content established solutions improvement patient care serves joint commission resources subject matter expert specific methodologies product lines creatively approaches client organizations solutions improve delivery patient care operations training scheduled june comprehensive knowledge joint commission commission international standards survey process required ten years experience health care seven ten years progressively responsible experience senior health care management improvement maintains current relevant knowledge health care issues strategies experience health care consulting role highly desirable preferred candidates performance improvement experience settings 250 beds strong standards knowledge applicable joint commission program excellent communication skills exhibited professional involvement leadership roles teaching consulting relevant publications written verbal communication skills necessary effectively present information ideas proposals reports presentations 100 travel required provides exceptional consultation education health care organizations clients emphasizing practical approaches application joint commission joint commission international standards well technical assistance general health care operations improvement identifies unique needs client organizations tailors consulting type scope etc accordingly responsible new current business development defined expectation inclusive client relationship management lead generation assistance proposal development sale joint commission resources joint commission international products services maintains grows client relationships ongoing communications systematic process client requested perform team leader leads team consultants deliver client engagement comprehensive achieves client expectations successful executing contracted deliverables timely quality manner capacity articulates interventions managing consultant appropriate client services manager joint commission joint commission international central office completes necessary follow activities client consistently prepares focused written consultation reports aimed toward senior health care executives obtains feedback joint commission resources joint commission international clients regarding quality services deliverables actively makes improvements therein promotes joint commission resources joint commission international products services public speaking engagements representation high profile national international joint commission resources joint commission international sponsored seminars conferences requested applicable may serve key contact state hospital association related contract deliverables coordinate educational workshops writes reviews publication joint commission resource joint commission international journals newsletters requested actively participates professional development activities training webinars audio conferences relevant education programs stay abreast current joint commission joint commission international policies products services standards survey processes well consultative skills appropriate proactively executes continuous development plan pursuit performance discussions feedback learning opportunities growth participates committees task forces teams design testing evaluation redesign joint commission resources joint commission international consulting education products services business processes various initiatives assigned actively shares innovations creative strategies experiences colleagues develops educational materials use revenue generating opportunities requested demonstrates high level professionalism integrity aspects one work inclusive timely accurate submission engagement deliverables time tracking expense reimbursement sales justification necessary operational details required consulting position models spirit quality collaboration across joint commission resources joint commission international services colleagues participates training mentoring consultants requested qualifications education experience following relevant education required physician degree doctor medicine doctor osteopathy board eligible board certified time hire current professional licensure related disciplines required required law time hire history disciplinary action relative current previous professional license provided adverse action result solely individual health status ten years recent experience health care seven ten years progressively responsible experience senior healthcare management demonstrated consulting expertise extensive knowledge experience health care operations clinical practice use performance improvement methods assess organizational performance current research trends relative health care practices experience accredited health care organization required skills abilities maintenance knowledge state federal international health trends content established solutions improvement patient care relevant joint commission resources joint commission international subject matter methodologies product lines demonstrated expertise consulting competency framework competence consulting provision consultative approach management effective communication practice business development professional competence knowledge skills abilities represented therein written verbal communication skills necessary effectively deliver information ideas proposals position papers presentations comprehensive knowledge ability operationalize cms guidance conditions participation appropriate joint commission resources joint commission international policies procedures applications standards survey processes methodologies tracer sustainable improvement performance improvement robust process improvement root cause analyses failure mode effects analysis required keen business acumen ability effectively influence collaborate stakeholders levels frontline within client organizations ability continually improve oneself professional development identified opportunities growth willingness ability travel continual basis adapt varying situations cultures computer literacy word processing spreadsheets database presentation software required ability use internet tools resources client relationship management consultant knowledge center required ability lift 25 pounds climb stairs ladders work settings infectious diseases present physical abilities must able observe real time without slowing otherwise interrupting progress applicable types ongoing health care treatment including emergency treatment treatment weather extreme situations standing long periods time walking lengthy distances lifting climbing stooping pulling pushing order adequately inspect observe medical facilities equipment procedures emergency exit procedures remote storage facilities areas cleanliness may affect possibility infection medical equipment including following activities walking stairways test escape routes assess safety emergency exits regulatory compliance etc removing obstructed covers impediments equipment mechanical areas examining small often dirty printed labels print equipment must able engage extensive travel set forth including driving car remote locations flying small airplanes small airports traveling types weather conditions etc,Associate,Part-time,Health Care Provider,"Information Technology and Services, Nonprofit Organization Management, and Hospital & Health Care",0.44,0.32
Senior Solutions Engineer,OneSpan,Russia,2021-10-05,< 25 applicants,future work flexible onespan teams proven able achieve goals together apart throughout global pandemic embracing work flexibility whenever possible choose wish come office wish work home get enjoy benefits worlds onespan looking solution engineer around moscow enforce sales team solution engineer responsible activities russia baltic states within segments business unique opportunity solution engineer help develop shape onespan business russian market key responsibilities working closely regional sales manager solution engineer needs get clear view analysis customer technical objectives implementation onespan products based advise customer best apply onespan strategic partners products solutions assist technical point view activities onespan products solutions rfp rfi well telephone face face prospective customers present demonstrate onespan products technical side onespan prospective customers provide towards customers partners relay customer feedback requirements new functionality requests product management internal communication obtain detailed knowledge strategic partners applications especially possibilities limitations order present best solution onespan customers actively participate trade shows seminars hosted onespan product training channel partners perform integration onespan products onespan strategic partners applications solutions corporate reporting tools minimum requirements degree customer oriented know react commercial situations work well pressure within guidelines certifications cyber security work experience detection solution advantage minimum 5 years cumulative work experience cyber security domains knowledge worked consult cloud platforms competency apply best practices cloud security experience network security solution architecture design years broad technical knowledge standards protocols specific windows dns dhcp practical experience web mobile development experience following technical standards protocols rest soap json pki oauth knowledge security standards frameworks owasp nist cissp plus native level russian speaker fluent english remote us offer opportunity protect world digital fraud hold significant responsibility accountability work makes impact move quickly stay top latest technology industry trends inform help work want join team helps organizations secure digital transformation want meet know takes people diversity perspectives ideas culture make company succeed committed building community belonging meaningful connections also believe hiring best talent lead creation better products services onespan equal opportunity employer including information please visit talent acquisition privacy cent,Associate,Full-time,Engineering and Information Technology,"Information Technology and Services, Computer Software, and Financial Services",0.32,0.15
Senior Environmental Consultant,Bilfinger,Russia,2021-09-09,< 25 applicants,senior environmental consultant moscow bilfinger tebodin part bilfinger se international consultancy engineering company employees 26 offices north west central eastern europe bilfinger tebodin central eastern europe cee largest engineering group region 800 consultants engineers managers apart construction sites worldwide company staff located offices across 7 countries czech republic hungary poland romania russia serbia ukraine intensive efforts unite people across countries result delivering top quality international best practice clients bilfinger tebodin cee operates four business lines consultancy process engineering engineering pmc together provide portfolio services complex engineering projects interdisciplinary technical complete solutions covering whole investment project cycle company proud 70 years experience automotive sphere wide variety food agro projects unique latest developments wind power plants bilfinger tebodin clients international financial institutions government bodies leading global local companies representing different industries among many bilfinger tebodin partner bayer bosch bridgestone cargill gestamp henkel lafargeholcim mars mondelez sanofi shell skoda siemens viessmann unilever expect university degree master degree environmental management engineering disciplines years relevant working experience excellent knowledge local international environmental regulations relevant industrial commercial property practical experience environmental social impact due diligence environmental site assessment knowledge practical experience health safety resource efficiency assessments climate change initiatives field works strong plus experience sales project coordination consultancy assignments including international environment fluent english must advanced pc user ms office client orientation initiative flexibility responsibility reliability ability work business driven culture several projects simultaneously time pressure ability communicate effectively wide variety audiences proven effective drafting skills employment terms conditions official salary depending results interview corporate medical insurance probation period professional trainings skills trainings language courses сorporate events teambuildings presents etc benefits bonuses company procedures business trips possible comfortable working positive open informal corporate friendly team please informed contact selected candidates send cvs english job segment engineer process engineer project manager engineering technolog,Associate,Full-time,Management and Manufacturing,Mechanical or Industrial Engineering,0.36,0.14
Principal Leakage Consultant,networx | Recruitment Software & Services,Russia,2021-09-09,< 25 applicants,new exciting role within leakage services function seeking enthusiastic innovative professional support growth development leakage business key role require combination business development technical direction combined strategic internal external relationship management role support leakage services manager develop implement new service offerings within client organisations role work support leakage services manager achieve strategic financial objectives building maintaining excellent client relationships support building new talent capability leakage services function deliver leading services clients ensure excellent quality delivery agreed cost time targets influence input continuing development innovative unique approaches give differentiated exclusive position binnies leakage services assist definition implementation leakage services marketing sales plan cross selling digital opportunities within binnies writing proposals secure client projects education training educated degree level engineering environmental discipline background experience previous consultancy experience knowledge base water infrastructure knowledge leakage network optimisation asset management hydraulic modelling skills programme project management personal attributes excellent written oral communication confident engaging clients rsk operate open relaxed management culture nurtures continuous improvement innovation adopting proactive growth strategy helps us run sustainable profitable business providing new exciting career opportunities company prides providing employees rewarding challenging career encouraging continuous professional development enabling reach full potential listed top 3 environmental consultancies listed sunday times pwc top track 250 never exciting time join furthermore retaining employees building block successful organisation want ensure maintain healthy work life balance many opportunities flexible working social activities community involvement projects rsk also committed corporate responsibility strategy seek minimise impact environment engage positively community education groups provide safe supportive atmosphere work promote corporate responsibility throughout supply chain rsk group equal opportunities employ,Associate,Full-time,"Consulting, Information Technology, and Sales",Civic & Social Organization and Nonprofit Organization Management,0.24,0.22
Senior Monetization Designer,,Russia,2021-09-25,< 25 applicants,ccp looking experienced senior monetization designer deep passion video games game development free play monetization design working trailblazing aaa mmo eve online studio based melting pot innovation beautiful reykjavík iceland senior monetization designer lead free play product monetization feature design pursuit providing benefit players various segments purchase range new products purchased real money hard currency developing features indirect monetization incorporating deep player driven economy leader monetization design proven track record developing products real money hard currency sale well systems drive direct monetization alongside benefit player passionate working sandbox mmo unique challenges complex dynamics player driven ecosystem great communicator able communicate ambitious visions designs high level details clear outcomes goals keen eye spotting monetization opportunities translate tangible deliverable players ability validate success data driven able analyze model problem order present reports draw actionable conclusions experienced designer non pay win monetization features familiar classic behavioral economies master user excel acutely aware new industry trends monetization frameworks development practices customer centric team player tasks responsible design new monetization features products well improvement existing systems goods sale introducing new products directly sold users stay within design monetization values pillars create cruel fair economy experience work closely commerce sales teams pricing player segmentation value proposition products partner store manager formulating web store strategies recommendations alongside seasonal live servicing working part game design group taking responsibility large features systems products development outcome analyze identify opportunities goals monetization products features understanding customer needs partner commerce sales economy teams define monetization best practices analyze performance existing new products throughout lifecycle minimum 5 years experience game design discipline least 3 years focus monetization products systems provable track record successful product monetization feature development title free play model bonus experience model system content design expertise free subscriber velvet rope experience working mmorpg sandbox style games ability work creatively demanding team environment absolute passion playing making video games improving players experience monetization related methods ability work pressure deadline little oversight leading design product start finish offer inspiring challenge working pioneering ambitious projects amazingly smart creative opportunity mentor guide junior team members multicultural work environment encourages growth creativity innovation double workstation setup flexible work environment active fun division hosts regular events excellent canteen offers weekly breakfast lunch menu well drinks snacks discretionary quarterly annual performance sharing plan annual sports grant mobile device mobile usage package home internet conditional monthly transportation grant work environment focuses employee doctor free charge well services discounted price relocation packag,Associate,Full-time,"Design, Art/Creative, and Information Technology","Computer Software, Internet, and Computer Games",0.32,0.08
SAP Senior Logistics Consultant S/4HANA,DXC Technology,Russia,2021-09-11,< 25 applicants,sap consulting team searching senior sap logistics join team russia sap consultant part global consulting team spread across locations reporting sap consulting team lead emea region sap professional act trusted consultant clients client executives partners account teams support customers digital transformation excellent sap consulting technology background together ability customize implement new solutions analyze problems find solutions existing sap landscapes translate complex business requirements digital solution roadmaps allow sap consultant quickly establish sustainable customer relationships guiding customers digital journey main requirements least 5 years logistics several years project experience sap consulting sap plus years professional experience combination sap advisory consulting profound knowledge sap logistics data migration closing processes well integration finance hcm good process understanding internal business processes areas sd mm good level english language skills german skills great advantage job description dxc technology nyse dxc world leading independent services company helping clients harness power innovation thrive change created merger csc enterprise services business hewlett packard enterprise dxc technology serves nearly private public sector clients across 70 countries company technology independence global talent extensive partner alliance combine deliver powerful services solutions consulting organization emea region searching senior sap logistics consultant location moscow dxc technology enterprise services reporting sap consulting team lead russia teleworking position allows successful candidate work home office alignment direct manager tasks work sap consultant international projects customize implement new solutions analyze problems find solutions existing sap landscapes enhance sap systems implementing new functionalities processes implement new technologies like hana least 5 years several years project experience sap consulting sap deep knowledge sap logistics sales distribution material management data migration closing processes fast close well integration finance hcm good process understanding internal business processes areas logistics sales distribution material management edi external interfaces reporting abap knowledge 3rd party solutions tms oblb mic would advantage fluent english german great advantage required business technical conception analysis modelling processes systems assumption responsibility migration projects project implementation management design customizing business processes documentation work experience areas sap specification test scenarios plans functional integration tests development expansion consulting topics logistics environment openness strong communication skills well ability work team convincing manner creativity initiative reliability thank taking time reviewing job ad believe right match please hesitate apply eager learn,Associate,Full-time,Management and Manufacturing,"Information Technology and Services, Computer Software, and Financial Services",0.4,0.15
TECHNICAL LEAD ENGINEER / JAVA Developer,Rockwell Automation,Russia,2021-10-03,< 25 applicants,job description responsible design development integration software components create reliable systems meet requirements customers software components developed top best class software products mainly factory talk production center pharmasuite role involves working global project delivery teams customers international environment brings requirement travel short periods another element role involve structured testing root cause analysis defects debugging right candidate must equipped ability collaborate work part international team must excellent communication skills working environment fast paced project environment right candidate cost sensitive driven always quality customer focused overview typically possesses broad knowledge relevant assigned business team must able work stressful environment constructive feedback others encouraged must excellent conflict resolution skills must available willing work overtime weekends holidays meet customer project commitments must perform duties office outside office part project team must able willing travel work customer sites 20 working time functional provides updates project manager pertaining status activities performance schedule performance budget self engineers may participate proposal development activities performs detailed system design implementation interpersonal may serve primary interface customer assigned projects supports environment conducive successful team interaction interacts project management obtains product technical information business units ra required leadership may lead project teams typically employing engineering professionals may globally distributed coaches mentors engineers assigned projects may lead contractors project assignments business leads technical execution complex projects responsible meeting project schedule engineering budgets customer satisfaction targets builds partnerships technical level customer counterparts must commercially aware impact business selecting developing project design implementation may present develop technical aspects sales proposals customers responsible following applicable corporate company governmental regulatory policies procedures appropriate position responsible delivering projects meet quality systems customer business unit qualification 2 5 years experience technical position developer position distributed team excellent understanding experience object oriented programming java java development java framework j2ee app server preferably jboss websphere relational database experience preferably ms sql server oracle experience distributed software development configuration management using cvs subversion excellent knowledge software design development test methodologies essential willingness global travel approx 20 working time first experience managing leading global development teams technical responsible working hand hand project manager excellent communication skills en local language respect managing internal distributed teams well first contact customer related technical topics required bachelor degree higher engineering discipline equivalent knowledge industry application knowledge welcome local language skills plus excellent english language verbal written,Associate,Full-time,Management and Manufacturing,Industrial Automation and Computer Software,0.24,0.24
SAP ABAP Developer,DXC Technology,Russia,2021-09-11,< 25 applicants,sap consulting team searching experienced sap abap developer skills join team russia sap abap developer part global consulting team spread across locations reporting sap consulting team lead emea region sap professional act trusted consultant clients client executives partners account teams support customers digital transformation excellent sap abap knowledge technology background together ability customize implement new solutions analyze problems find solutions existing sap landscapes translate complex business requirements digital solution roadmaps allow sap abap developer quickly establish sustainable customer relationships guiding customers digital journey main requirements least 3 years sap abap development background preferably sap area skills several years project experience sap abap developer profound knowledge sap abap sap script smartforms data migration integration interfaces good process understanding internal business processes areas logistics good level english language skills german skills great advantage job description dxc technology nyse dxc world leading independent services company helping clients harness power innovation thrive change created merger csc enterprise services business hewlett packard enterprise dxc technology serves nearly private public sector clients across 70 countries company technology independence global talent extensive partner alliance combine deliver powerful services solutions consulting organization emea region searching experienced sap abap developer location moscow dxc technology enterprise services reporting sap consulting team lead russia teleworking position allows successful candidate work home office alignment direct manager tasks work sap abap developer international projects customize implement new solutions analyze problems find solutions existing sap landscapes enhance sap systems implementing new functionalities processes implement new technologies like hana least 3 years abap several years project experience sap abap developer deep knowledge sap logistics primarily data migration closing processes fast close well integration finance hcm good process understanding internal business processes areas sap logistics sap sales distribution material management smartforms sap script 3rd party interfaces integrations edi ale pipo advantage reporting abap error troubleshooting code performance improvements fluent english german great advantage required business technical conception analysis modelling processes systems assumption responsibility abap developments migration projects customizing business processes documentation work experience specification test scenarios plans functional integration tests development expansion consulting topics sap logistics area openness strong communication skills well ability work team convincing manner creativity initiative reliability thank taking time reviewing job ad believe right match please hesitate apply eager learn,Associate,Full-time,Information Technology,"Information Technology and Services, Computer Software, and Financial Services",0.4,0.17
Senior Software Engineer - Attack Surface Management,HackerOne,Russia,2021-10-02,< 25 applicants,position summary hackerone mission empower world build safer internet growing engineering team outsized impact looking senior software engineer help us innovate propel platform forward senior software engineer work product managers designers technical lead variety challenging projects leading project collaborative effective software engineer team member interact one vibrant communities security researchers hackers world use experience build delightful features products well thousands companies trust hackerone cybersecurity posture engineer asm team build products features help customers enhance visibility attack surface analyze prioritize security risk accelerate remediation manage supply chain risk journey hackerone day start warm welcome office get tools start first 30 days focusing getting know hackeronies join new squad onboarding get learn technology stack ruby rails graphql reactjs many within 60 days committed bunch code repositories start developing knack fast effective software engineer codebase within 90 days start getting ready lead first project senior software engineer branched talked sales marketing various functions developed good sense collaboration communication beyond 90 days senior software engineer first person likes work people teams help build team cultivate innovation drive execution projects across multiple teams years software engineering experience especially within saas environment proven positive impact past professional experience proven experience leading delivering projects willing learn senior staff software engineers finally inspire mentor multiply facilitate engineers successful hackerone values hackerone commits maintaining strong inclusive culture built employees community hackers team start integrity integrity act one watching default disclosure ask private instead public act like owner greater alignment greater autonomy win team compete achieve excellence enable best empower community community composed hackers customers security industry information check career page hackerone hackerone started hackers security leaders driven passion make internet safer hackerone 1 security platform helping organizations find fix critical vulnerabilities exploited partner global hacker community surface relevant security issues customers exploited criminals organizations including department defense general motors google play twitter github nintendo panasonic avionics qualcomm starbucks dropbox trust hackerone find critical software vulnerabilities hackerone headquartered san francisco offices london netherlands team believe integrity transparency trust collaboration community believe positive power hackers work tirelessly promote success community broader mainstream audience,Associate,Full-time,Engineering and Information Technology,"Information Technology and Services, Computer Software, and Internet",0.24,0.19
"Senior Software Engineer in Test, Client Retention team",Toptal,Russia,2021-09-25,< 25 applicants,toptal toptal global network top freelance talent business design technology enables companies scale teams million annual revenue 40 growth toptal world largest fully remote company take best elements virtual teams combine support structure encourages innovation social interaction fun see borders move fast pace never afraid break mold position description toptal company quality responsibility whole team software engineers test lead effort believe top quality reached ensuring product engineering team level member client retention team opportunity bring value amazing sales teams ensuring new shiny tools free defects product team work closely product manager exciting product well technical challenges team domain includes ownership client data tools help make sales teams smile one tools homegrown system allows data synchronization platform salesforce mostly work ruby backend typescript frontend also dabble apex working data synchronization working established modern react typescript webpack babel jest rtl name architecture backed robust backend tech stack ruby rails graphql used many teams toptal also building ui using built components library picasso tests extensively using cypress primary testing framework remote position done anywhere due remote nature role unable provide visa sponsorship resumes communication must submitted english responsibilities test validate software serving thousands businesses every day review requirements specifications technical design documents provide timely meaningful feedback work closely product team stakeholders users preliminary planning holistic view plan deliver new features create detailed comprehensive test plans test cases estimate prioritize plan coordinate testing activities identify record document thoroughly track bugs track quality assurance metrics like defect densities open defect counts work maintain improve automated test suites mentor people provide feedback grow part team actively participate meetings including scrum meetings squad meetings pair programming sessions etc first week expect meet mentors guide onboarding month get acquainted tech stack get familiar system architecture tools use learn processes follow first month expect attend regular meetings like technical calls retrospectives monthly engineering meeting start working regular team tasks become familiar business domain first three months expect actively engaged development new features team works learn take part utilization latest testing technologies develop automated tests ensure products flawlessly support business behave quality standards first six months expect become key part team responsible certain areas help others inside outside team contribute planning executing initiatives inside team develop team trust make strategic decisions regard tools methods involved qa process first year expect mentor part interviewing team order support growth engineering team become champion new ideas thrive achieve purpose company ensuring quality culture value take joy deployment production multiple times day collaborating daily team individuals working distributed model requirements years quality assurance test automation great spoken written communication skills critical thinking enthusiastic skepticism full autonomy every aspect daily work able unblock finding right people help good experience knowledge web application automation related like selenium alternatives experience white box black box testing experience different tools testing tool version control systems git test management software bug tracking software ci tools jenkins cypress cucumber rspec daily bread butter familiarity ruby rails javascript graphql big plus familiarity willingness invest contract testing methodology related experience much welcome bonus points knowledge programming must individual contributor thrive toptal tell people toptal use individualcontributoreurope individualcontributorsa,Associate,Full-time,"Quality Assurance, Information Technology, and Engineering",Internet,0.28,0.19
